#random sampling: 1000																															
Gene	JS_YC_bin_221	SD_DY_bin_343	SD_DY_bin_156	JS_YC_bin_164	JS_LYG_bin_42	SD_QD_bin_87	HN_SY_bin_61	ZJ_NB_bin_117	GD_ZH_bin_112	JS_LYG_bin_20	SD_DY_bin_7	JS_LYG_bin_19	ZJ_WZ_bin_184	GD_ZH_bin_260	SD_DY_bin_417	GX_BH_bin_82	SD_DY_bin_227	GD_ZH_bin_224	JS_LYG_bin_103	GD_ST_bin_83	ZJ_NB_bin_158	GX_BH_bin_20	ZJ_NB_bin_115	SD_DY_bin_76	ZJ_WZ_bin_243	SD_DY_bin_75	ZJ_NB_bin_129	JS_LYG_bin_132	LN_DD_bin_95	SD_DY_bin_480	SD_QD_bin_67
mtrE	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mtrF	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mtrG	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mtrH	0	0	0	0	1	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2
mttB	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	3
mttC	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1
mvhA	0	0	0	0	1	2	2	3	1	0	0	1	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1
mvhD	0	0	0	0	1	2	2	5	0	0	0	1	0	0	0	11	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0
mvhG	0	0	0	0	1	1	1	2	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0
mxaD	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mxaF	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
napH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
narB	0	0	0	0	1	0	1	0	2	2	0	1	0	0	0	3	0	0	0	0	1	0	2	0	0	1	0	1	2	0	1
narH	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
nirK	3	1	2	5	1	4	0	0	0	0	1	0	4	4	2	2	4	0	0	2	0	3	1	0	0	3	2	0	0	2	0
nirS	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pfkA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	1	0
pfkB	0	0	0	0	1	1	2	1	0	1	0	2	0	0	0	3	0	0	2	0	1	0	1	1	0	0	1	0	1	0	0
pfkC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
pfp	0	1	0	0	1	2	1	2	0	1	0	0	0	0	0	2	0	0	1	0	1	0	1	0	1	0	1	2	0	0	2
pmoC	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0
